Identifier,Topic Key,English Source,Machine Translation,Edit Required,Clinical Harm Potential,Post-Edited Translation,CMQM Categories,MQM Categories,Notes
SQ74,llm-cataract-pre-assessment@1.0.0,What blood thinners do you take?,你服用什么样的抗凝药？,,,,,,
SA74.1,llm-cataract-pre-assessment@1.0.0,I take apixaban,我服用阿匹沙班,,,,,,
SA74.2,llm-cataract-pre-assessment@1.0.0,clopidogrel,氯吡格雷,,,,,,
SQ75,llm-cataract-pre-assessment@1.0.0,Do you take any regular medication?,你有服用任何規律的藥物嗎？,,,,,,
SA75.1,llm-cataract-pre-assessment@1.0.0,yes for my blood pressure,对我的血压来说是的,,,,,,
SA75.2,llm-cataract-pre-assessment@1.0.0,I take several medications daily,我每天服用几种药物,,,,,,
SA75.3,llm-cataract-pre-assessment@1.0.0,no just vitamins,不是只有维生素,,,,,,
SA75.4,llm-cataract-pre-assessment@1.0.0,nothing prescribed,没有开处方,,,,,,
SQ76,llm-cataract-pre-assessment@1.0.0,Have you ever been on Tamsulosin or Doxazosin?,你曾经服用过坦索罗辛或多沙唑辛吗？,,,,,,
SA76.1,llm-cataract-pre-assessment@1.0.0,yes I take Tamsulosin for my prostate,是的，我服用坦索罗辛来治疗我的前列腺,,,,,,
SA76.2,llm-cataract-pre-assessment@1.0.0,I was on Doxazosin but stopped last year,我曾经服用多沙唑辛，但去年停止了。,,,,,,
SA76.3,llm-cataract-pre-assessment@1.0.0,no never taken those,从不曾拿过那些,,,,,,
SA76.4,llm-cataract-pre-assessment@1.0.0,I don't recognize those names,我不认识那些名字,,,,,,
SQ77,llm-cataract-pre-assessment@1.0.0,Do you have any allergies?,你有任何过敏吗？,,,,,,
SA77.1,llm-cataract-pre-assessment@1.0.0,yes to penicillin,同意使用青霉素,,,,,,
SA77.2,llm-cataract-pre-assessment@1.0.0,I'm allergic to latex,我对乳胶过敏,,,,,,
SA77.3,llm-cataract-pre-assessment@1.0.0,no allergies that I know of,我所知道的没有过敏反应,,,,,,
SA77.4,llm-cataract-pre-assessment@1.0.0,just seasonal hay fever,只是季节性花粉热,,,,,,
SQ78,llm-cataract-pre-assessment@1.0.0,Do you regularly use a wheelchair?,您经常使用轮椅吗？,,,,,,
SA78.1,llm-cataract-pre-assessment@1.0.0,yes all the time,一直都可以,,,,,,
SA78.2,llm-cataract-pre-assessment@1.0.0,I use one when I go out,我出门的时候会用一个,,,,,,
SA78.3,llm-cataract-pre-assessment@1.0.0,no I don't,不，我不,,,,,,
SA78.4,llm-cataract-pre-assessment@1.0.0,I use a walking frame,我使用助行器,,,,,,
SQ79,llm-cataract-pre-assessment@1.0.0,Do you usually need assistance getting in and out of your chair?,你通常需要帮助上下椅子吗？,,,,,,
SA79.1,llm-cataract-pre-assessment@1.0.0,yes I need help transferring,是的，我需要帮助转移,,,,,,
SA79.2,llm-cataract-pre-assessment@1.0.0,I can manage on my own,我可以自己处理,,,,,,
SQ80,llm-cataract-pre-assessment@1.0.0,"Usually, the operation's done with you awake, under local anaesthetic, and your face covered. Most patients don't feel any pain. Do you think this is something you can manage?",通常，这个手术是在你清醒的状态下，使用局部麻醉，并且你的脸被遮住进行的。大多数患者不会感到任何疼痛。你觉得你能应付得了吗？,,,,,,
SA80.1,llm-cataract-pre-assessment@1.0.0,yes that's fine,是的，没问题,,,,,,
SA80.2,llm-cataract-pre-assessment@1.0.0,I think I can handle that,我想我能处理好这件事,,,,,,
SA80.3,llm-cataract-pre-assessment@1.0.0,I'm very claustrophobic,我非常怕幽闭空间,,,,,,
SA80.4,llm-cataract-pre-assessment@1.0.0,I'd prefer to be asleep,我宁愿睡觉,,,,,,
SQ81,llm-cataract-pre-assessment@1.0.0,Would you be comfortable lying flat and still for around 30 minutes during the operation?,您能否在手术过程中大约30分钟保持平躺和静止的状态？,,,,,,
SA81.1,llm-cataract-pre-assessment@1.0.0,yes no problem,没有问题,,,,,,
SA81.2,llm-cataract-pre-assessment@1.0.0,I can do that,我可以做到,,,,,,
SA81.3,llm-cataract-pre-assessment@1.0.0,my back pain makes it difficult to lie flat,我的背痛使得我很难平躺,,,,,,
SA81.4,llm-cataract-pre-assessment@1.0.0,I get very fidgety,我变得非常不安分,,,,,,
SQ82,llm-cataract-pre-assessment@1.0.0,Do you think you'll need extra help from a district nurse to put in your drops?,你觉得你需要一个地区护士的额外帮助来使用眼药水吗？,,,,,,
SA82.1,llm-cataract-pre-assessment@1.0.0,yes I'll need help,是的，我需要帮助,,,,,,
SA82.2,llm-cataract-pre-assessment@1.0.0,I can't put drops in myself,我不能自己往眼睛里滴眼药水,,,,,,
SA82.3,llm-cataract-pre-assessment@1.0.0,no I can manage,“不，我可以应付”,,,,,,
SA82.4,llm-cataract-pre-assessment@1.0.0,my wife will help me,我的妻子会帮助我,,,,,,
SQ83,llm-cataract-pre-assessment@1.0.0,Do you usually use the patient transport services via your GP for hospital visits?,您通常通过家庭医生使用患者运输服务去医院看病吗？,,,,,,
SA83.1,llm-cataract-pre-assessment@1.0.0,yes I always use patient transport,是的，我总是使用病人运输,,,,,,
SA83.2,llm-cataract-pre-assessment@1.0.0,I rely on patient transport,我依靠病人运输,,,,,,
SA83.3,llm-cataract-pre-assessment@1.0.0,no my daughter drives me,“不，是我的女儿开车带我”,,,,,,
SA83.4,llm-cataract-pre-assessment@1.0.0,I take a taxi,我坐出租车,,,,,,
R1,llm-cataract-pre-assessment@1.0.0,no none of those,没有那些,,,,,,
R2,llm-cataract-pre-assessment@1.0.0,yeah a bit,是的，有点儿,,,,,,
R3,llm-cataract-pre-assessment@1.0.0,yeah always,是的，总是,,,,,,
R4,llm-cataract-pre-assessment@1.0.0,yes thats right,是的，那是对的,,,,,,
R5,llm-cataract-pre-assessment@1.0.0,yeah all over,“是的，无处不在”,,,,,,
R6,llm-cataract-pre-assessment@1.0.0,no,不,,,,,,
R7,llm-cataract-pre-assessment@1.0.0,uhm no i don't think so,“嗯，不，我不这么认为”,,,,,,
R8,llm-cataract-pre-assessment@1.0.0,I had lasik about 10 years ago to correct my vision,大约十年前，我做了LASIK手术来矫正我的视力,,,,,,
R9,llm-cataract-pre-assessment@1.0.0,I've had laser eye surgery in the past,我过去曾经做过激光眼科手术,,,,,,
R10,llm-cataract-pre-assessment@1.0.0,I had PRK laser surgery when I was younger,我年轻时做过PRK激光手术,,,,,,
R11,llm-cataract-pre-assessment@1.0.0,"No, I've never had laser eye surgery",没有，我从未做过激光眼科手术,,,,,,
R12,llm-cataract-pre-assessment@1.0.0,I had glaucoma surgery a few years ago,几年前我做了青光眼手术,,,,,,
R13,llm-cataract-pre-assessment@1.0.0,I had a detached retina fixed in my right eye,我右眼的脱落视网膜已经修复了,,,,,,
R14,llm-cataract-pre-assessment@1.0.0,As a child I had a cast in one eye,我小时候有一只眼戴着石膏固定器,,,,,,
R15,llm-cataract-pre-assessment@1.0.0,"No, I've never had any other eye operations",没有，我从未进行过其他眼部手术,,,,,,
R16,llm-cataract-pre-assessment@1.0.0,I had a chemical burn to my eye years ago,我几年前曾经有过化学烧伤，伤到了我的眼睛,,,,,,
R17,llm-cataract-pre-assessment@1.0.0,I got hit in the eye with a tennis ball once and had to go to hospital,我曾经被网球击中眼睛一次，必须去医院。,,,,,,
R18,llm-cataract-pre-assessment@1.0.0,I've never had any severe eye injuries,我从未遭受过严重的眼部损伤,,,,,,
R19,llm-cataract-pre-assessment@1.0.0,I have glaucoma that I'm being treated for,我患有青光眼正在接受治疗,,,,,,
R20,llm-cataract-pre-assessment@1.0.0,I'm being seen for macular degeneration,我正在接受黄斑变性的治疗,,,,,,
R21,llm-cataract-pre-assessment@1.0.0,I have dry eyes that I use drops for,我有干眼症，需要使用眼药水,,,,,,
R22,llm-cataract-pre-assessment@1.0.0,"No, I don't have any other eye conditions",“ 不，我没有其他眼部疾病 ”,,,,,,
R23,llm-cataract-pre-assessment@1.0.0,I have a severe heart problem,我有严重的心脏问题,,,,,,
R24,llm-cataract-pre-assessment@1.0.0,I have severe COPD which affects my breathing,我患有严重的慢性阻塞性肺疾病，影响我的呼吸。,,,,,,
R25,llm-cataract-pre-assessment@1.0.0,I have an implantable defibrillator,我有一個可植入式心律轉復除顫器,,,,,,
R26,llm-cataract-pre-assessment@1.0.0,I had a heart attack last year,去年我曾心脏病发作,,,,,,
R27,llm-cataract-pre-assessment@1.0.0,"No, I don't have any heart or breathing problems",“ 我没有心脏或呼吸问题 ”,,,,,,
R28,llm-cataract-pre-assessment@1.0.0,I take warfarin for my heart condition,我因为心脏病而服用华法林。,,,,,,
R29,llm-cataract-pre-assessment@1.0.0,I take Tamsulosin for my prostate,我服用坦索罗辛来治疗我的前列腺。,,,,,,
R30,llm-cataract-pre-assessment@1.0.0,I was on Doxazosin but stopped last year,我曾经服用多沙唑辛，但去年停止了。,,,,,,
R31,llm-cataract-pre-assessment@1.0.0,My doctor prescribed me Flomax recently,我的医生最近给我开了氟沙星,,,,,,
R32,llm-cataract-pre-assessment@1.0.0,"No, I've never taken Tamsulosin or Doxazosin",没有，我从未服用过坦索罗辛或多沙唑辛,,,,,,
R33,llm-cataract-pre-assessment@1.0.0,I'm allergic to penicillin,我对青霉素过敏,,,,,,
R34,llm-cataract-pre-assessment@1.0.0,I have a latex allergy,我对乳胶过敏,,,,,,
R35,llm-cataract-pre-assessment@1.0.0,I get hay fever but no other allergies,我有花粉症，但没有其他的过敏反应,,,,,,
R36,llm-cataract-pre-assessment@1.0.0,I'm allergic to several medications including codeine,我对包括可待因在内的几种药物过敏,,,,,,
R37,llm-cataract-pre-assessment@1.0.0,I'm gluten and lactose intolerant,我对麸质和乳糖过敏,,,,,,
R38,llm-cataract-pre-assessment@1.0.0,"No, I don't have any allergies that I know of",没有，我不知道自己有任何过敏反应,,,,,,
R39,llm-cataract-pre-assessment@1.0.0,I have glaucoma and take blood thinners,我患有青光眼，并服用抗凝药。,,,,,,
R40,llm-cataract-pre-assessment@1.0.0,I had laser eye surgery years ago and I'm allergic to penicillin,我几年前做过激光眼科手术，而且我对青霉素过敏,,,,,,
R41,llm-cataract-pre-assessment@1.0.0,"I have a heart condition, take warfarin, and had a detached retina fixed last year",我有心脏病，服用华法林，并且去年修复了脱落的视网膜,,,,,,
R42,llm-cataract-pre-assessment@1.0.0,I take Tamsulosin for my prostate and have had a chemical burn to my eye in the past,我服用坦索罗辛来治疗前列腺问题，并且过去曾经有过化学烧伤眼睛的经历,,,,,,
R43,llm-cataract-pre-assessment@1.0.0,I'm being treated for macular degeneration and I take several medications including metformin for diabetes,我正在接受黄斑变性的治疗，并且我正在服用多种药物，包括用于治疗糖尿病的二甲双胍。,,,,,,
FQ11,llm-cataract@1.0.0,Are you experiencing any blurry vision after your surgery?,您在手术后是否出现视力模糊的情况？,No,minor,,,,
FA11.1,llm-cataract@1.0.0,near is fine,离得近就行,No,none,,,,
FQ12,llm-cataract@1.0.0,"Are you having trouble seeing clearly at a distance, up close, or both?",你在远处、近处或两者都看不清楚吗？,,,,,,
FA12.1,llm-cataract@1.0.0,near is fine,离得近就行,,,,,,
FA12.2,llm-cataract@1.0.0,yes at a distance,在远处,,,,,,
FA12.3,llm-cataract@1.0.0,yes up close,是的，近距离,No,,,,,
FA12.4,llm-cataract@1.0.0,both,两者,,,,,,
FA12.5,llm-cataract@1.0.0,i cant see far or near,我看不远也看不近,Yes,,我看不清远处也看不清近处,linguistic_quality,,
FA12.6,llm-cataract@1.0.0,i cant see up close,我近视不清,Yes,,我看不清近处的东西,linguistic_quality,,
FA12.7,llm-cataract@1.0.0,i cant see far,我看不到远处,,,,,,
FA12.8,llm-cataract@1.0.0,yes,是的,,,,,,
FQ13,llm-cataract@1.0.0,"I want to gather some information about how your eye's healing, which I'll share with your doctor. So, how's your eye doing since your surgery?",我想收集一些关于你眼睛愈合情况的信息，我会与你的医生分享。那么，你的手术后眼睛的情况怎么样？,,,,,,
FA13.1,llm-cataract@1.0.0,um I think I'm doing all right uh a little bit itchy sometimes a couple of floaters,嗯，我想我还行吧，有时候会有点痒，还有一些眼前漂浮的东西,,,,,,
FQ14,llm-cataract@1.0.0,"Are you experiencing any blurry vision, either when you're looking at things far away or when you're reading?",你是否出现视力模糊的情况，无论是看远处的东西还是看近处的书籍？,,,,,,
FA14.1,llm-cataract@1.0.0,yes yes I have yes,是的 是的 我有 是的,,,,,,
FA14.2,llm-cataract@1.0.0,I can't read vey well,我读得不太好,,,,,,
FA14.3,llm-cataract@1.0.0,yes when I read,是的，当我读到时,Yes,,当我阅读时,linguistic_quality,,
FA14.4,llm-cataract@1.0.0,yes both,是的，都有,,,,,,
FA14.5,llm-cataract@1.0.0,only at a distance,只在远处,,,,,,
FA14.6,llm-cataract@1.0.0,yes I can't see far away,是的，我看不到远处,,,,,,
FQ15,llm-cataract@1.0.0,Is it more when you're watching TV or trying to read something?,你是在看电视还是试图读点什么的时候更容易出现这种情况？,,,,,,
FA15.1,llm-cataract@1.0.0,my reading vision,我的阅读视野,,,,,,
FA15.2,llm-cataract@1.0.0,watching TV,看电视,,,,,,
FA15.3,llm-cataract@1.0.0,both,两者,,,,,,
FA15.4,llm-cataract@1.0.0,less when reading,阅读时更少,,,,,,
FQ16,llm-cataract@1.0.0,Has your vision improved since the surgery,手术后您的视力有改善吗？,,,,,,
FA16.1,llm-cataract@1.0.0,it has improved to a degree because now I can watch TV but I cannot read,“它有了一定的改善，因为现在我可以看电视，但我不能读书”,,,,,,
FA16.2,llm-cataract@1.0.0,vision improved a little bit.,视力稍微有一点改善。,,,,,,
FA16.3,llm-cataract@1.0.0,it is really bad compared to before,跟以前比起来真的很糟糕,No,,,,,
FQ17,llm-cataract@1.0.0,how's your eye doing after cataract surgery,白内障手术后你的眼睛怎么样了,,,,,,
FA17.1,llm-cataract@1.0.0,"It was better, but now it's blurry",“它曾经更好，但现在变得模糊”,,,,,,
FA17.2,llm-cataract@1.0.0,my vision is getting worse,我的视力越来越差,,,,,,
FA17.3,llm-cataract@1.0.0,I've got like little dots that kind of move about on my I like all of them,我有种类的小点，它们在我的身上四处移动，我都喜欢它们,Yes,,我会出现一些小点，它们在四处移动，我喜欢他们全部,linguistic_quality,,
FA17.4,llm-cataract@1.0.0,I see lots of dark dots,我看到很多黑点,,,,,,
FA17.5,llm-cataract@1.0.0,it hurts a lot,很痛,,,,,,
FA17.6,llm-cataract@1.0.0,it's tender,它很嫩,,,,,,
FA17.7,llm-cataract@1.0.0,it is rather red,它相当红,,,,,,
FQ18,llm-cataract@1.0.0,Have you noticed any small dark spots or cobwebs in your vision since the surgery?,你在手术后有没有注意到视野中有小的黑点或像蛛网一样的东西？,,,,,,
FA18.1,llm-cataract@1.0.0,only for the first week they now have disappeared,“只有第一周他们现在已经消失了”,,,,,,
FA18.2,llm-cataract@1.0.0,I did have some before,我以前确实有过一些,,,,,,
FA18.3,llm-cataract@1.0.0,when I first did it yes but now it's no more,当我第一次做的时候，是的，但现在已经不再了,Yes,,当我第一次做的时候有，但是现在已经没有了,linguistic_quality,,
FA18.4,llm-cataract@1.0.0,yes and black spots things like that,是的，还有黑点什么的,,,,,,
FA18.5,llm-cataract@1.0.0,I see specks in my vision,我在视野中看到斑点,,,,,,
FA18.6,llm-cataract@1.0.0,there are all these little cobweb things,这里有很多这些小小的蛛网东西,,,,,,
FA18.7,llm-cataract@1.0.0,a few small little black dots but not much just first thing in the morning and then it goes,一小撮小小的黑点，但不是很多，只是在早晨的第一时间，然后就消失了,Yes,,早上刚起床时有一些小黑点，但不多，之后就消失了。,linguistic_quality,,
FA18.8,llm-cataract@1.0.0,I have had floaters for a couple of years before the surgery,我在手术前已经有了几年的眼部漂浮物。,,,,,,
FA18.9,llm-cataract@1.0.0,I have small dots,我有小点,,,,,,
FQ19,llm-cataract@1.0.0,So you're saying you have noticed some small dark spots or cobwebs in your vision since the surgery. Can you tell me if they've changed or increased in number since the operation?,那么，你是在说你在手术后在视野中注意到了一些小的黑点或蛛网状东西。可以告诉我它们是否已经改变或数量上有所增加吗？,No,,,,,
FA19.1,llm-cataract@1.0.0,it's recently becoming worse,最近变得更糟糕了,,,,,,
FA19.2,llm-cataract@1.0.0,they are more annoying than before,它们比以前更令人烦恼,,,,,,
FA19.3,llm-cataract@1.0.0,not an increase I have floaters but not any more than before,不是增加，我有眼浮沉，但没有比以前更多,Yes,,并没有加重，我还是会有眼漂浮物，但和以前一样没有加重。,linguistic_quality,,
FA19.4,llm-cataract@1.0.0,I don't think my floaters have increased,我觉得我的眼花没有增加,,,,,,
FA19.5,llm-cataract@1.0.0,I don't think I've had more floaters recently,我最近没有感觉到有更多的漂浮物,,,,,,
FA19.6,llm-cataract@1.0.0,the floaters are definitely getting worse,那些漂浮物肯定变得更糟了,,,,,,
FA19.7,llm-cataract@1.0.0,the blacks dots are more annoying now,那些黑点现在更令人烦恼了,,,,,,
FA19.8,llm-cataract@1.0.0,no,不,,,,,,
FA19.9,llm-cataract@1.0.0,yes I did not have them before,是的，我以前没有他们,,,,,,
FQ20,llm-cataract@1.0.0,Are you experiencing pain in your eye,你眼部是否感到疼痛,,,,,,
FA20.1,llm-cataract@1.0.0,yes,是的,,,,,,
FA20.2,llm-cataract@1.0.0,no too painful know just the site pain and this morning that was all very slight,“并不太痛，只知道那个地方痛，这个早上都很轻微”,Yes,,不是很疼，只是有点痛，今天早上这种疼痛感很轻微。,linguistic_quality,,
FA20.3,llm-cataract@1.0.0,only after the drops my eye stings,只有当眼泪落下时，我的眼睛才会感到刺痛,Yes,,滴完眼药水后眼睛才刺痛,ungrounded_content,,
FA20.4,llm-cataract@1.0.0,yes it was painful last night yeah after I finished antibiotic,是的，昨晚很痛，嗯，在我服完抗生素之后,,,,,,
FA20.5,llm-cataract@1.0.0,it's irritating me,这让我很烦恼,,,,,,
FA20.6,llm-cataract@1.0.0,yes I have a lot of pain,是的，我感到非常疼痛,,,,,,
FA20.7,llm-cataract@1.0.0,it hurts more than gritty,比粗糙更痛苦,,,,,,
FA20.8,llm-cataract@1.0.0,I am suffering,我正在受苦,,,,,,
FA20.9,llm-cataract@1.0.0,pain cool over,疼痛缓解了,,,,,,
FQ21,llm-cataract@1.0.0,Is your eye currently painful,你現在的眼睛很痛嗎？,,,,,,
FA21.1,llm-cataract@1.0.0,I think it's becoming less painful overall,我觉得总体上来说疼痛越来越少了,,,,,,
FQ22,llm-cataract@1.0.0,Is the pain in your eye some of the time or all the time?,你的眼睛疼痛是偶尔还是一直都有？,,,,,,
FA22.1,llm-cataract@1.0.0,painful all the time,一直很痛苦,,,,,,
FA22.2,llm-cataract@1.0.0,yes sometimes it hurts I feel it when I think I shouldn't I'm aware of it it has it gives me a dull ache,是的，有时候它会伤害我，我会感觉到它，当我以为我不应该这样的时候，我知道它，它给我带来一种钝痛,Yes,,是的，有时候会疼，明明不应该疼的时候也会疼，但我能感觉到，它确实疼，给我一种隐隐作痛的感觉。,linguistic_quality,,
FA22.3,llm-cataract@1.0.0,it's painful all the time and especially in the morning,一直都很痛，尤其是在早晨,,,,,,
FA22.4,llm-cataract@1.0.0,the pain is decreasing,疼痛正在减轻,,,,,,
FA22.5,llm-cataract@1.0.0,it was quite bad last yesterday but today this morning when I got up still hurting me as well,昨天很糟糕，但今天早上醒来后仍然很疼。,,,,,,
FA22.6,llm-cataract@1.0.0,only when the drops make it stinging,只有当水滴让它感到刺痛时,Yes,,只有当滴眼药水会感到刺痛感,ungrounded_content,,
FA22.7,llm-cataract@1.0.0,occasionally a little bit painful,有时会有点痛,,,,,,
FA22.8,llm-cataract@1.0.0,it feels gritty,感觉很粗糙,,,,,,
FQ23,llm-cataract@1.0.0,"Thanks So you're feeling a bit sore and it comes and goes. Can you describe this soreness a bit more - is it mostly a gritty or dry sensation, or something else?",谢谢。你感觉有点疼痛，疼痛时有时无。可以进一步描述这种疼痛吗——它主要是有一种粗糙或干燥的感觉，还是其他感觉？,,,,,,
FA23.1,llm-cataract@1.0.0,yeah yes that's exactly right yeah a little bit dry sometimes,是的，就是这样，是的，有时候有点干燥,,,,,,
FQ24,llm-cataract@1.0.0,"Alright So you're feeling a little bit of pain in your eye some of the time. Can you tell me what the pain feels like - is it mostly a gritty or dry sensation, or something else?",好吧，你有时会感到眼睛有一点疼痛。你能告诉我疼痛的感觉是什么样的吗——主要是有粗糙或干燥的感觉，还是其他的感觉？,,,,,,
FA24.1,llm-cataract@1.0.0,dry sensation,干燥感,,,,,,
FQ25,llm-cataract@1.0.0,Are you experiencing pain in your eye?,你的眼睛感到疼痛吗？,,,,,,
FA25.1,llm-cataract@1.0.0,just a little bit dry sometimes,有时候会有点干,,,,,,
FA25.2,llm-cataract@1.0.0,only after the drops my eye stings,只有当眼泪落下时，我的眼睛才会感到刺痛,Yes,,滴完眼药水后眼睛才刺痛,ungrounded_content,,
FA25.3,llm-cataract@1.0.0,yes,是的,,,,,,
FQ26,llm-cataract@1.0.0,Is your eye currently painful?,你現在的眼睛很痛嗎？,,,,,,
FA26.1,llm-cataract@1.0.0,just a little bit dry sometimes,有时候稍微有点干,,,,,,
FA26.2,llm-cataract@1.0.0,only after the drops my eye stings,只有当眼泪落下时，我的眼睛才会感到刺痛,Yes,,滴完眼药水后眼睛才刺痛,ungrounded_content,,
FA26.3,llm-cataract@1.0.0,yes,是的,,,,,,
FA26.4,llm-cataract@1.0.0,I think it's becoming less painful overall,我觉得总体上来说疼痛越来越少了,,,,,,
FA26.5,llm-cataract@1.0.0,painful all the time,一直很痛苦,,,,,,
FQ27,llm-cataract@1.0.0,Are your eyes painful?,你的眼睛痛吗？,,,,,,
FA27.1,llm-cataract@1.0.0,just a little bit dry sometimes,有时候稍微有点干,,,,,,
FA27.2,llm-cataract@1.0.0,only after the drops my eyes sting,只有当眼泪落下时，我的眼睛才会感到刺痛,Yes,,滴完眼药水后，我的眼睛才开始刺痛。,ungrounded_content,,
FA27.3,llm-cataract@1.0.0,yes,是的,,,,,,
FA27.4,llm-cataract@1.0.0,I think it's becoming less painful overall,我觉得总体上来说疼痛越来越少了,,,,,,
FA27.5,llm-cataract@1.0.0,painful all the time,一直很痛苦,,,,,,
FQ28,llm-cataract@1.0.0,Are your eyes painful at all?,你的眼睛很痛吗？,,,,,,
FA28.1,llm-cataract@1.0.0,they're just a little bit gritty,它们只是有点粗糙,,,,,,
FQ29,llm-cataract@1.0.0,Are your eyes painful? at all,你的眼睛很痛吗？,No,,,,,
FA29.1,llm-cataract@1.0.0,they're just a little bit gritty,它们只是有点粗糙,,,,,,
FQ30,llm-cataract@1.0.0,Are you experiencing redness in your eye,你眼部是否出现红肿,,,,,,
FA30.1,llm-cataract@1.0.0,my eye is a bit pink yes,我的眼睛有点粉红，是的,,,,,,
FA30.2,llm-cataract@1.0.0,the left and right parts of the eye are both red,眼睛的左边和右边都发红,,,,,,
FA30.3,llm-cataract@1.0.0,it's red all the way across,从头到尾都是红色的,,,,,,
FA30.4,llm-cataract@1.0.0,entirely red,完全红色,,,,,,
FA30.5,llm-cataract@1.0.0,a little bit of my eye is red,我眼睛有一点点红,,,,,,
FA30.6,llm-cataract@1.0.0,well it's still a little bit pink,“好吧，它还有一点点粉红色”,,,,,,
FA30.7,llm-cataract@1.0.0,red round the edges,边缘处呈红色,,,,,,
FQ31,llm-cataract@1.0.0,"Is the redness all over your eye or is it just in one corner, near your nose?",你的眼睛红的地方是整个眼睛，还是只在鼻子附近的一个角落？,,,,,,
FA31.1,llm-cataract@1.0.0,nope it's not red in the corner it's red all over,不是，只有角落是红色的，它是全部都是红色的,Yes,,不，不是只有角落是红色的，而是整个区域都是红色的。,negation_polarity,,
FA31.2,llm-cataract@1.0.0,every part of my eye is red,我眼睛的每个部分都是红的,,,,,,
FA31.3,llm-cataract@1.0.0,yeah it is near the nose it is very very red and it looks as if there's a wound,“是的，它靠近鼻子，非常非常红，看起来好像有一个伤口”,,,,,,
FA31.4,llm-cataract@1.0.0,"the redness is almost completely gone, apart from a bit in the corner",红肿几乎完全消失了，除了角落里还有一点点。,,,,,,
FA31.5,llm-cataract@1.0.0,"not quite. It's it's more bloodshot, and it's red outside, underneath the eye gets it gets red.",不是完全如此。它更是血丝密布，外面是红色的，在眼睛下面变得红。,Yes,,不完全是。是眼睛更充血，而且眼周发红，眼下也红。,linguistic_quality,,
FA31.6,llm-cataract@1.0.0,I would say that a minority of the eye is red,我会说眼睛的一小部分是红色的,,,,,,
FQ32,llm-cataract@1.0.0,Is the redness all over your eye or is it more in the corner by your nose?,你的眼睛红的地方是整个眼睛，还是主要在鼻子旁边的眼角处？,,,,,,
FA32.1,llm-cataract@1.0.0,no it is not very red just a little in the corner,不是很红，只是在角落里有一点点,,,,,,
FQ53,llm-cataract@1.0.0,"So you're experiencing some pain along with the redness, hmm. Let me write that down. Is your eye currently painful?",那么，你正经历一些疼痛伴随着红肿，是吗？让我把这写下来。你现在的眼睛很痛吗？,,,,,,
FA53.1,llm-cataract@1.0.0,and it's a bit painful as well actually,而且实际上有点痛苦,,,,,,
FQ54,llm-cataract@1.0.0,Thanks I'd like to ask about your vision now. Are you noticing any blurriness after the surgery?,谢谢，我想问一下您现在的视力。手术后您有没有注意到视力模糊？,,,,,,
FA54.1,llm-cataract@1.0.0,"Yes, I have noticed some blurriness in my vision since the surgery.",是的，我在手术后发现我的视力有一些模糊。,,,,,,
FQ55,llm-cataract@1.0.0,Has your vision improved as you expected since the surgery?,手术后，您的视力是否像预期的那样有所改善？,,,,,,
FA55.1,llm-cataract@1.0.0,"it was clear up until two weeks ago, then started getting blurry",两周前还很清楚，但之后就开始变得模糊起来了,,,,,,
FA55.2,llm-cataract@1.0.0,it's been bad since the surgery to be honest,老实说，自从做了手术后情况就一直不好,,,,,,
FA55.3,llm-cataract@1.0.0,no,不,,,,,,
FA55.4,llm-cataract@1.0.0,it's a bit blurry,有点模糊,,,,,,
FA55.5,llm-cataract@1.0.0,"it is blurrier than I thought, but is slowly improving",比我想象的要模糊，但正在慢慢改善,,,,,,
FA55.6,llm-cataract@1.0.0,it's getting worse and worse,越来越糟糕了,,,,,,
FA55.7,llm-cataract@1.0.0,it's worse,更糟糕,,,,,,
FA55.8,llm-cataract@1.0.0,no its a bit hazy,不是，它有点模糊,,,,,,
FA55.9,llm-cataract@1.0.0,its completely blurred,完全模糊不清,,,,,,
FA55.10,llm-cataract@1.0.0,yes,是的,,,,,,
FA55.11,llm-cataract@1.0.0,"well it's not better, but maybe that's because I'm wearing my old glasses",“好吧，也许这并没有什么改善，但是可能是因为我戴着旧眼镜的缘故”,,,,,,
FA55.12,llm-cataract@1.0.0,"it's worse, with or without my old glasses",“有没有戴旧眼镜，都一样糟糕”,No,,,,,
FA55.13,llm-cataract@1.0.0,it's still blurry,仍然模糊不清,,,,,,
FQ56,llm-cataract@1.0.0,do you think the blurriness is getting better or worse?,你觉得模糊度是在变好还是变差？,,,,,,
FA56.1,llm-cataract@1.0.0,"it is blurrier than I thought, but is slowly improving",比我想象的要模糊，但正在慢慢改善,,,,,,
FA56.2,llm-cataract@1.0.0,it's getting worse and worse,越来越糟糕了,,,,,,
FA56.3,llm-cataract@1.0.0,it's a bit blurry,有点模糊,,,,,,
FA56.4,llm-cataract@1.0.0,it's worse,更糟糕,,,,,,
FQ57,llm-cataract@1.0.0,how bad is the blurriness?,模糊的程度有多严重？,,,,,,
FA57.1,llm-cataract@1.0.0,I think the blurriness is getting a bit worse.,我觉得模糊度变得稍微严重了一点。,,,,,,
FQ58,llm-cataract@1.0.0,Change over time - do you think the blurriness is getting better or worse?,随着时间的推移 - 你认为模糊度是在改善还是恶化？,,,,,,
FA58.1,llm-cataract@1.0.0,I think the blurriness is getting a bit worse.,我觉得模糊度变得稍微严重了一点。,,,,,,
